,created_at,text,compound_score
0,2021-06-02 17:13:31+00:00,RT @kristoferthomas: some woman just misgendered me when i was out walking my dog and her clearly gay kid just looked up at her like https:…,0.6369
1,2021-06-02 17:13:31+00:00,RT @ByAlFrancisco: I double-dog dare you @celtics @bradstevens https://t.co/f4QVhnfUPW,0.0
2,2021-06-02 17:13:31+00:00,RT @3zzz_p: How i eat this dog food https://t.co/o1IZFiT2hr,0.0
3,2021-06-02 17:13:32+00:00,"RT @genius_coin: It’s a Genius Dog 🐶

#somethingbigiscoming #geniuscoin #presale #ICO https://t.co/4E7U8BFki7",0.0
4,2021-06-02 17:13:32+00:00,RT @ByAlFrancisco: I double-dog dare you @celtics @bradstevens https://t.co/f4QVhnfUPW,0.0
5,2021-06-02 17:13:32+00:00,@Sony https://t.co/JsvtR9KQTh,0.0
6,2021-06-02 17:13:33+00:00,RT @dinamalarweb: ஆஹா இதுவல்லவோ ஊரடங்கு உத்தரவு காட்சி கண்ட இடம் கோவை உக்கடம் பெரியகுளம் கரை https://t.co/GVwXRwBBCY https://t.co/7iYHfoD2ua,0.0
7,2021-06-02 17:13:33+00:00,Just had to wash a quite spectacular amount of shit from this cat's tail and somehow it's my fault https://t.co/iU2ZzWIDIL,-0.743
8,2021-06-02 17:13:33+00:00,cat moment https://t.co/iYsRERBLaE,0.0
9,2021-06-02 17:13:33+00:00,"tw // self harm 
-
-
-
-
i told my friends ✨it was the neighbours dog✨ and they believed me🤝 
i guess i have to spend a lot of time with my neighbours dog the next few days, weeks, months or what ever https://t.co/WVJCQDHjqY",0.2263
10,2021-06-02 17:13:33+00:00,RT @VanillaCherie: rainbow cat 🌈 https://t.co/8pF5ED4LpZ,0.0
11,2021-06-02 17:13:34+00:00,"RT @Littleb29872980: Irans largest Military Naval ship sinks;;/ BOOM 💥
;; Complete confusion in Iran, Isreal,  [M E] 
Nobody knows who are…",-0.5719
12,2021-06-02 17:13:34+00:00,RT @MinajCraveBR: REALEZA! Nicki Minaj (#9) e Doja Cat (#7) são as únicas rappers no top 10 de artistas femininas mais transmitidas da déca…,-0.2225
13,2021-06-02 17:13:34+00:00,"RT @HoundsInPounds: NY/NJ: Jose Ole is a Silver Lab Mix. He is approximately 8 months old &amp; weighs 50 lbs. Jose is neutered, vaccinated and…",0.0
14,2021-06-02 17:13:35+00:00,@doge511 https://t.co/crCUb2ZVt0,0.0
15,2021-06-02 17:13:36+00:00,This is a flex and I’m so impressed https://t.co/eImEF8VjEH,0.6113
16,2021-06-02 17:13:36+00:00,RT @dollazzzz_j: TALK TO ME NICE BECAUSE I JUST DID MY FIRST EVER C SECTION ON A DOG!! &amp;&amp; gave life to 5 HEALTHY PUPPIES!! Veterinary Surge…,0.8456
17,2021-06-02 17:13:36+00:00,RT @cremebruyayy: 404twt playing fucking geoguessr rn trying to find this lost cat https://t.co/9o4XX5HO93,-0.2083
18,2021-06-02 17:13:36+00:00,"RT @msm_monitor: Just listened to Radio Scotland and it's unfiltered, anti-Scottish Govt propaganda. They're attacking everything. The usua…",-0.6124
19,2021-06-02 17:13:36+00:00,"more Goro kitty because I’m obsessed with this man and cat ears
#Persona5 
#goroakechi 
#akechigoro https://t.co/PhzFWu00P9",-0.1779
20,2021-06-02 17:13:36+00:00,RT @vmnstudio: the adventures of Toro the cat https://t.co/NJjRTB0bVP,0.34
21,2021-06-02 17:13:37+00:00,Thats how im gonna be when i get my dog https://t.co/kuFkuJmQgC,0.0
