"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 21:38:46,FALSE,NA,"1379911554028732422",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EibhlinCurley",7,TRUE,FALSE,NA,NA
"2","RT @SEAI_ie: Watch this handy animation which shows you how to get your home to a BER rating of B2 or higher. Visit our website to learn mo…",FALSE,0,NA,2021-04-07 20:56:25,FALSE,NA,"1379900896079937547",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HospitalBuddy",9,TRUE,FALSE,NA,NA
"3","#Southeast Communities have been learning recently about how to set up their own renewable energy projects. Watch b… https://t.co/D4rWwT4w9f",FALSE,1,NA,2021-04-07 20:10:01,TRUE,NA,"1379889219674509315",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Carlow_Co_Co",0,FALSE,FALSE,NA,NA
"4","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 20:09:32,FALSE,NA,"1379889099054669834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpTallon",7,TRUE,FALSE,NA,NA
"5","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 20:03:26,FALSE,NA,"1379887563947843595",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CIATIreland",7,TRUE,FALSE,NA,NA
"6","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 19:06:01,FALSE,NA,"1379873112779587601",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NFLAUKandI",7,TRUE,FALSE,NA,NA
"7","RT @LeanSkillnet: The Lean &amp; Green Skillnet is delighted to be part of the #ClimateReady Launch in partnership with @SkillnetIreland, @Cent…",FALSE,0,NA,2021-04-07 16:53:30,FALSE,NA,"1379839764032012289",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ken_stockil",2,TRUE,FALSE,NA,NA
"8","RT @SEAI_ie: Climate SOS is an adventure storybook that follows four kids (and one dog) who are focused on exploring sustainable energy and…",FALSE,0,NA,2021-04-07 16:16:38,FALSE,NA,"1379830487871582211",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","drewtmurphy",17,TRUE,FALSE,NA,NA
"9","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 15:46:23,FALSE,NA,"1379822872206671872",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Dept_ECC",7,TRUE,FALSE,NA,NA
"10","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 15:42:22,FALSE,NA,"1379821862667091973",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","smarctic",7,TRUE,FALSE,NA,NA
"11","RT @SEAI_ie: Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place including vid…",FALSE,0,NA,2021-04-07 15:39:16,FALSE,NA,"1379821083315089408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gloria_callinan",7,TRUE,FALSE,NA,NA
"12","Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place in… https://t.co/ucsCN01ZNq",FALSE,11,NA,2021-04-07 15:38:15,TRUE,NA,"1379820825080180740",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",7,FALSE,FALSE,NA,NA
"13","RT @SEAI_ie: Climate SOS is an adventure storybook that follows four kids (and one dog) who are focused on exploring sustainable energy and…",FALSE,0,NA,2021-04-07 14:55:18,FALSE,NA,"1379810018426511360",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","justinbyrne42",17,TRUE,FALSE,NA,NA
"14","We will be appointing 3 x Senior Energy Modelling Experts to develop analytical outputs to inform and drive essenti… https://t.co/N3ByGt9P4o",FALSE,0,NA,2021-04-07 14:20:05,TRUE,NA,"1379801154910060544",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"15","Ireland's leading business to business sustainable event, the SEAI Energy Show is back! Join us for a virtual 2 Day… https://t.co/dABQmi7LlK",FALSE,2,NA,2021-04-07 13:42:01,TRUE,NA,"1379791576424194048",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"16","RT @LeanSkillnet: The Lean &amp; Green Skillnet is delighted to be part of the #ClimateReady Launch in partnership with @SkillnetIreland, @Cent…",FALSE,0,NA,2021-04-07 13:25:18,FALSE,NA,"1379787370522873859",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Central_Sol_Ltd",2,TRUE,FALSE,NA,NA
"17","The Lean &amp; Green Skillnet is delighted to be part of the #ClimateReady Launch in partnership with @SkillnetIreland,… https://t.co/hmslmPbKlg",FALSE,5,NA,2021-04-07 13:24:32,TRUE,NA,"1379787174443425792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LeanSkillnet",2,FALSE,FALSE,NA,NA
"18","RT @SEAI_ie: Anyone interested in sustainable energy and climate action will enjoy navigating through our energy data portal! Explore energ…",FALSE,0,NA,2021-04-07 13:18:50,FALSE,NA,"1379785740209508352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ccdm1",8,TRUE,FALSE,NA,NA
"19","RT @3CEAgency: The 3cea One Stop Shop Home Retrofit Service provides you with a hassle-free journey to achieving an energy efficient home 🏡…",FALSE,0,NA,2021-04-07 13:02:38,FALSE,NA,"1379781663316643841",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CarlowPPN",4,TRUE,FALSE,NA,NA
"20","RT @devperspectives: This month we are focusing on #SDG9 -Industry, Innovation&amp; Infrastructure. Check out our updated info pack which outli…",FALSE,0,NA,2021-04-07 12:47:14,FALSE,NA,"1379777786940960773",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","devperspectives",7,TRUE,FALSE,NA,NA
"21","We have just added a new Energy Hub to our website. Here wou will be able to explore the best of our energy content… https://t.co/I1bD3lGxzC",FALSE,1,NA,2021-04-07 12:28:00,TRUE,NA,"1379772950367383554",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"22","RT @HorizonEuropeIE: Full recording of Irish Launch of Horizon Europe on our site with all materials https://t.co/z7ftGLG1nj or opt for the…",FALSE,0,NA,2021-04-07 12:18:20,FALSE,NA,"1379770514676285440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BraithwaiteTCL",18,TRUE,FALSE,NA,NA
"23","RT @BlackwaterMotor: Order your ID.4 today as we have limited stock left for 2021!
Highlights of the ID.4 include:
- PCP Finance from 2.9%…",FALSE,0,NA,2021-04-07 12:17:01,FALSE,NA,"1379770185314230272",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","budionecay",1,TRUE,FALSE,NA,NA
"24","RT @LEOLaois: The Cube Low Carbon Centre of Excellence will be hosting a workshop with @SEAI_ie , @3CEAgency &amp; @GasNetIrl on funding &amp; inno…",FALSE,0,NA,2021-04-07 12:11:28,FALSE,NA,"1379768786346184704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LaoisBusinesses",2,TRUE,FALSE,NA,NA
"25","Order your ID.4 today as we have limited stock left for 2021!
Highlights of the ID.4 include:
- PCP Finance from 2.… https://t.co/DrGgIbeuPz",FALSE,2,NA,2021-04-07 12:04:20,TRUE,NA,"1379766992245248001",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BlackwaterMotor",1,FALSE,FALSE,NA,NA
"26","A transition to clean energy is about making an investment in our future - Gloria Reuben
*
*
#ERI #energy… https://t.co/EG4fS052wS",FALSE,0,NA,2021-04-07 10:27:41,TRUE,NA,"1379742671489490945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erimanagedenerg",0,FALSE,FALSE,NA,NA
"27","@Marineireland @SEAI_ie @ohaganam @MaREIcentre @tonyoceanork @vcummins24 That’s next!",FALSE,0,"Marineireland",2021-04-07 09:37:07,FALSE,"1379725210098806784","1379729942519369728","533505892","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MSP_Ireland",0,FALSE,FALSE,NA,NA
"28","National Marine Planning Framework approved by Government and Parliamentary clearance pending. On to the much await… https://t.co/NlJWsHfPw1",FALSE,5,NA,2021-04-07 09:18:18,TRUE,NA,"1379725210098806784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Marineireland",0,FALSE,FALSE,NA,NA
"29","RT @LEOLaois: The Cube Low Carbon Centre of Excellence will be hosting a workshop with @SEAI_ie , @3CEAgency &amp; @GasNetIrl on funding &amp; inno…",FALSE,0,NA,2021-04-07 09:14:43,FALSE,NA,"1379724307836850176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GasNetIrl",2,TRUE,FALSE,NA,NA
"30","The Cube Low Carbon Centre of Excellence will be hosting a workshop with @SEAI_ie , @3CEAgency &amp; @GasNetIrl on fund… https://t.co/Tc8Lsl4yEL",FALSE,4,NA,2021-04-07 09:13:22,TRUE,NA,"1379723968991653889",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LEOLaois",2,FALSE,FALSE,NA,NA
"31","RT @EnergySavingKit: Have you taken a tour of our 3D #energyefficient home?
Explore the interior and exterior of the house and discover ren…",FALSE,0,NA,2021-04-07 08:56:57,FALSE,NA,"1379719834250964997",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SEAI_ie",4,TRUE,FALSE,NA,NA
"32","RT @SEAI_ie: Sign up to our mailing list and learn about using sustainable energy in your home, community or business. Hear about our work…",FALSE,0,NA,2021-04-07 08:54:10,FALSE,NA,"1379719134859169792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","meathcoco",2,TRUE,FALSE,NA,NA
"33","RT @SEAI_ie: We have just added a new Energy Hub to our website. Here wou will be able to explore the best of our energy content in one pla…",FALSE,0,NA,2021-04-07 08:27:54,FALSE,NA,"1379712523927162880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AcaciaIreland",5,TRUE,FALSE,NA,NA
