"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Southeast Communities have been learning recently about how to set up their own renewable energy projects. Watch b… https://t.co/D4rWwT4w9f",FALSE,1,NA,2021-04-07 20:10:01,TRUE,NA,"1379889219674509315",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Carlow_Co_Co",0,FALSE,FALSE,NA,NA
"2","Check out our brand new Energy Hub! Here wou will be able to explore the best of our energy content in one place in… https://t.co/ucsCN01ZNq",FALSE,11,NA,2021-04-07 15:38:15,TRUE,NA,"1379820825080180740",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",7,FALSE,FALSE,NA,NA
"3","We will be appointing 3 x Senior Energy Modelling Experts to develop analytical outputs to inform and drive essenti… https://t.co/N3ByGt9P4o",FALSE,0,NA,2021-04-07 14:20:05,TRUE,NA,"1379801154910060544",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"4","Ireland's leading business to business sustainable event, the SEAI Energy Show is back! Join us for a virtual 2 Day… https://t.co/dABQmi7LlK",FALSE,2,NA,2021-04-07 13:42:01,TRUE,NA,"1379791576424194048",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"5","The Lean &amp; Green Skillnet is delighted to be part of the #ClimateReady Launch in partnership with @SkillnetIreland,… https://t.co/hmslmPbKlg",FALSE,5,NA,2021-04-07 13:24:32,TRUE,NA,"1379787174443425792",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LeanSkillnet",2,FALSE,FALSE,NA,NA
"6","We have just added a new Energy Hub to our website. Here wou will be able to explore the best of our energy content… https://t.co/I1bD3lGxzC",FALSE,1,NA,2021-04-07 12:28:00,TRUE,NA,"1379772950367383554",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","SEAI_ie",0,FALSE,FALSE,NA,NA
"7","Order your ID.4 today as we have limited stock left for 2021!
Highlights of the ID.4 include:
- PCP Finance from 2.… https://t.co/DrGgIbeuPz",FALSE,2,NA,2021-04-07 12:04:20,TRUE,NA,"1379766992245248001",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","BlackwaterMotor",1,FALSE,FALSE,NA,NA
"8","A transition to clean energy is about making an investment in our future - Gloria Reuben
*
*
#ERI #energy… https://t.co/EG4fS052wS",FALSE,0,NA,2021-04-07 10:27:41,TRUE,NA,"1379742671489490945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","erimanagedenerg",0,FALSE,FALSE,NA,NA
"9","@Marineireland @SEAI_ie @ohaganam @MaREIcentre @tonyoceanork @vcummins24 That’s next!",FALSE,0,"Marineireland",2021-04-07 09:37:07,FALSE,"1379725210098806784","1379729942519369728","533505892","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MSP_Ireland",0,FALSE,FALSE,NA,NA
"10","National Marine Planning Framework approved by Government and Parliamentary clearance pending. On to the much await… https://t.co/NlJWsHfPw1",FALSE,5,NA,2021-04-07 09:18:18,TRUE,NA,"1379725210098806784",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Marineireland",0,FALSE,FALSE,NA,NA
"11","The Cube Low Carbon Centre of Excellence will be hosting a workshop with @SEAI_ie , @3CEAgency &amp; @GasNetIrl on fund… https://t.co/Tc8Lsl4yEL",FALSE,4,NA,2021-04-07 09:13:22,TRUE,NA,"1379723968991653889",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LEOLaois",2,FALSE,FALSE,NA,NA
